Country;Dietary survey;Population Class;Level 1 FoodEx Name;Level 1 FoodEx Code;Number of consumers;Percentage of consumers;Mean consumption in grams/ kg body weight per day;Standard Deviation of consumption in grams/ kg body weight per day;Median consumption in grams/ kg body weight per day;99th percentile of consumption in grams/ kg body weight per day
United Kingdom;Diet and Nutrition Survey of Infants and Young Children, 2011;Infants;grains and grain-based products;A.01.000001;1154;84.3;4.12;3.92;3.25;17.66
United Kingdom;Diet and Nutrition Survey of Infants and Young Children, 2011;Infants;vegetables and vegetable products;A.01.000317;1043;76.2;5.34;4.52;4.24;20.61
United Kingdom;Diet and Nutrition Survey of Infants and Young Children, 2011;Infants;nuts;A.01.000486;628;45.9;1.5;1.72;0.84;7.77
United Kingdom;Diet and Nutrition Survey of Infants and Young Children, 2011;Infants;fruits and fruit products;A.01.000544;1136;83;6.63;5.5;5.27;24.66
United Kingdom;Diet and Nutrition Survey of Infants and Young Children, 2011;Infants;meat and meat products;A.01.000727;860;62.8;1.87;1.62;1.47;8.3
United Kingdom;Diet and Nutrition Survey of Infants and Young Children, 2011;Infants;fish and other seafood;A.01.000876;473;34.6;1.25;1.15;0.91;5.83
United Kingdom;Diet and Nutrition Survey of Infants and Young Children, 2011;Infants;milk and dairy products;A.01.000948;1196;87.4;23.96;32.1;10.16;146.33
United Kingdom;Diet and Nutrition Survey of Infants and Young Children, 2011;Infants;eggs and egg products;A.01.001252;236;17.2;1.25;1.24;0.98;6.26
United Kingdom;Diet and Nutrition Survey of Infants and Young Children, 2011;Infants;sugar and confectionary;A.01.001267;398;29.1;0.39;0.4;0.27;1.76
United Kingdom;Diet and Nutrition Survey of Infants and Young Children, 2011;Infants;non-alcoholic beverages;A.01.001470;293;21.4;2.52;3.51;1.26;18.38
United Kingdom;Diet and Nutrition Survey of Infants and Young Children, 2011;Infants;alcoholic beverages;A.01.001534;14;1;0.42;0.56;0.23;2.13
United Kingdom;Diet and Nutrition Survey of Infants and Young Children, 2011;Infants;snacks, desserts, and other foods;A.01.001877;455;33.2;2.06;2.38;1.2;10.29
United Kingdom;Diet and Nutrition Survey of Infants and Young Children, 2011;Toddlers;grains and grain-based products;A.01.000001;1307;99.5;7.58;4.3;6.91;21.54
United Kingdom;Diet and Nutrition Survey of Infants and Young Children, 2011;Toddlers;vegetables and vegetable products;A.01.000317;1189;90.5;3.92;3.47;3.03;16.25
United Kingdom;Diet and Nutrition Survey of Infants and Young Children, 2011;Toddlers;nuts;A.01.000486;920;70;1.94;1.92;1.34;9.04
United Kingdom;Diet and Nutrition Survey of Infants and Young Children, 2011;Toddlers;fruits and fruit products;A.01.000544;1240;94.4;7.93;5.75;6.77;25.32
United Kingdom;Diet and Nutrition Survey of Infants and Young Children, 2011;Toddlers;meat and meat products;A.01.000727;1182;90;2.42;1.73;2.04;7.47
United Kingdom;Diet and Nutrition Survey of Infants and Young Children, 2011;Toddlers;fish and other seafood;A.01.000876;676;51.4;1.43;1.04;1.23;5.1
United Kingdom;Diet and Nutrition Survey of Infants and Young Children, 2011;Toddlers;milk and dairy products;A.01.000948;1299;98.9;34.54;21.82;34.68;87.8
United Kingdom;Diet and Nutrition Survey of Infants and Young Children, 2011;Toddlers;eggs and egg products;A.01.001252;454;34.6;1.32;1.1;1.16;5
United Kingdom;Diet and Nutrition Survey of Infants and Young Children, 2011;Toddlers;sugar and confectionary;A.01.001267;761;57.9;0.62;0.65;0.42;2.85
United Kingdom;Diet and Nutrition Survey of Infants and Young Children, 2011;Toddlers;non-alcoholic beverages;A.01.001470;733;55.8;4.9;6.42;2.83;31.71
United Kingdom;Diet and Nutrition Survey of Infants and Young Children, 2011;Toddlers;alcoholic beverages;A.01.001534;33;2.5;0.31;0.27;0.23;0.88
United Kingdom;Diet and Nutrition Survey of Infants and Young Children, 2011;Toddlers;snacks, desserts, and other foods;A.01.001877;833;63.4;2.02;2.44;1.19;10.23
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Other children;grains and grain-based products;A.01.000001;651;100;7.41;3.03;6.93;16.57
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Other children;vegetables and vegetable products;A.01.000317;586;90;2.88;2.4;2.28;13.31
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Other children;nuts;A.01.000486;477;73.3;1.48;1.25;1.1;5.73
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Other children;fruits and fruit products;A.01.000544;618;94.9;4.79;3.54;3.94;16.73
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Other children;meat and meat products;A.01.000727;630;96.8;2.25;1.4;1.94;6.66
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Other children;fish and other seafood;A.01.000876;376;57.8;1.15;0.77;0.95;3.61
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Other children;milk and dairy products;A.01.000948;648;99.5;13.34;10.08;10.61;45.04
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Other children;eggs and egg products;A.01.001252;183;28.1;0.73;0.63;0.61;3.35
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Other children;sugar and confectionary;A.01.001267;558;85.7;0.86;0.8;0.66;4.56
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Other children;non-alcoholic beverages;A.01.001470;591;90.8;7.41;6.53;5.73;30.96
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Other children;alcoholic beverages;A.01.001534;23;3.5;0.22;0.31;0.1;1.48
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Other children;snacks, desserts, and other foods;A.01.001877;573;88;1.83;1.58;1.46;7.03
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Adolescents;grains and grain-based products;A.01.000001;665;99.8;3.83;2.01;3.5;10.4
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Adolescents;vegetables and vegetable products;A.01.000317;602;90.4;1.47;1.28;1.1;5.88
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Adolescents;nuts;A.01.000486;404;60.7;0.78;0.79;0.56;4.03
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Adolescents;fruits and fruit products;A.01.000544;503;75.5;1.63;1.51;1.25;7.03
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Adolescents;meat and meat products;A.01.000727;642;96.4;1.51;0.94;1.33;4.3
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Adolescents;fish and other seafood;A.01.000876;282;42.3;0.63;0.42;0.54;2.25
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Adolescents;milk and dairy products;A.01.000948;654;98.2;3.89;3.71;2.67;16.87
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Adolescents;eggs and egg products;A.01.001252;180;27;0.36;0.33;0.29;1.99
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Adolescents;sugar and confectionary;A.01.001267;580;87.1;0.52;0.5;0.38;2.26
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Adolescents;non-alcoholic beverages;A.01.001470;636;95.5;6.78;4.95;5.98;20.8
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Adolescents;alcoholic beverages;A.01.001534;80;12;2.18;3.53;0.57;16.09
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Adolescents;snacks, desserts, and other foods;A.01.001877;561;84.2;0.77;0.68;0.57;2.94
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Adults;grains and grain-based products;A.01.000001;1265;99.9;2.58;1.32;2.32;6.64
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Adults;vegetables and vegetable products;A.01.000317;1222;96.5;1.78;1.4;1.48;6.1
